Item Number,Quantity,Value,Description,Part Number,Part Reference,Manufacturer Name,Manufacturer Part Number,ID,SKU
58,1,330R,Panasonic ERJ6GE Series Thick Film Surface Mount Fixed Resistor 0805 Case 10k +/-5% 0.125W +/-200ppm/C,ERJ-6GEYJ103V,R2,Panasonic,ERJ-6GEYJ103V,505,
59,1,10k,Panasonic ERJ6GE Series Thick Film Surface Mount Fixed Resistor 0805 Case 10k +/-5% 0.125W +/-200ppm/C,ERJ-6GEYJ103V,R3,Panasonic,ERJ-6GEYJ103V,889,
60,1,10k,Panasonic ERJ6GE Series Thick Film Surface Mount Fixed Resistor 0805 Case 10k +/-5% 0.125W +/-200ppm/C,ERJ-6GEYJ103V,R4,Panasonic,ERJ-6GEYJ103V,895,
61,1,10k,Panasonic ERJ6GE Series Thick Film Surface Mount Fixed Resistor 0805 Case 10k +/-5% 0.125W +/-200ppm/C,ERJ-6GEYJ103V,R5,Panasonic,ERJ-6GEYJ103V,898,
62,1,10k,Panasonic ERJ6GE Series Thick Film Surface Mount Fixed Resistor 0805 Case 10k +/-5% 0.125W +/-200ppm/C,ERJ-6GEYJ103V,R6,Panasonic,ERJ-6GEYJ103V,901,
63,1,10k,Panasonic ERJ6GE Series Thick Film Surface Mount Fixed Resistor 0805 Case 10k +/-5% 0.125W +/-200ppm/C,ERJ-6GEYJ103V,R7,Panasonic,ERJ-6GEYJ103V,923,
64,1,2k,Panasonic ERJ6GE Series Thick Film Surface Mount Fixed Resistor 0805 Case 10k +/-5% 0.125W +/-200ppm/C,ERJ-6GEYJ103V,R8,Panasonic,ERJ-6GEYJ103V,789,
65,1,2k,Panasonic ERJ6GE Series Thick Film Surface Mount Fixed Resistor 0805 Case 10k +/-5% 0.125W +/-200ppm/C,ERJ-6GEYJ103V,R9,Panasonic,ERJ-6GEYJ103V,792,
66,1,330R,Panasonic ERJ6GE Series Thick Film Surface Mount Fixed Resistor 0805 Case 10k +/-5% 0.125W +/-200ppm/C,ERJ-6GEYJ103V,R10,Panasonic,ERJ-6GEYJ103V,695,
67,1,330R,Panasonic ERJ6GE Series Thick Film Surface Mount Fixed Resistor 0805 Case 10k +/-5% 0.125W +/-200ppm/C,ERJ-6GEYJ103V,R11,Panasonic,ERJ-6GEYJ103V,692,
68,1,10k,Panasonic ERJ6GE Series Thick Film Surface Mount Fixed Resistor 0805 Case 10k +/-5% 0.125W +/-200ppm/C,ERJ-6GEYJ103V,R12,Panasonic,ERJ-6GEYJ103V,649,
69,1,330R,Panasonic ERJ6GE Series Thick Film Surface Mount Fixed Resistor 0805 Case 10k +/-5% 0.125W +/-200ppm/C,ERJ-6GEYJ103V,R13,Panasonic,ERJ-6GEYJ103V,631,
70,1,330R,Panasonic ERJ6GE Series Thick Film Surface Mount Fixed Resistor 0805 Case 10k +/-5% 0.125W +/-200ppm/C,ERJ-6GEYJ103V,R14,Panasonic,ERJ-6GEYJ103V,636,
71,1,inf,Panasonic ERJ6GE Series Thick Film Surface Mount Fixed Resistor 0805 Case 10k +/-5% 0.125W +/-200ppm/C,ERJ-6GEYJ103V,R15,Panasonic,ERJ-6GEYJ103V,644,
72,1,120R,Panasonic ERJ6GE Series Thick Film Surface Mount Fixed Resistor 0805 Case 10k +/-5% 0.125W +/-200ppm/C,ERJ-6GEYJ103V,R16,Panasonic,ERJ-6GEYJ103V,641,
73,1,EVQ-Q2B02W,"White Button Tactile Switch, Single Pole Single Throw (SPST) 20 mA@ 15 V dc 0.7mm",EVQ-Q2B02W,S1,Panasonic,EVQ-Q2B02W,498,
74,1,CONN_004P_000C_1,,705430038,TOUCH_CONN1,Molex Connector Corporation,705430038,775,
75,1,ABLS-4.9152MHZ-B4-T,HC/49US (AT49) SMD LOW PROFILE CRYSTAL,ABLS-4.9152MHZ-B4-T,Y1,ABRACON,ABLS-4.9152MHZ-B4-T,464,
76,1,ECS-160-20-5PX-TR,16 MHz +/-30ppm Crystal 20pF 40 Ohms HC-49/US,ECS-160-20-5PX-TR,Y2,ECS,ECS-160-20-5PX-TR,480,
